id,zona,tracker,fila,tipo,strings,articulada,art_plano,x,y_sur,y_norte,z_sur,z_norte,pend_long,pend_long_trk,s_oeste,s_este,azi_oeste,azi_este,mag_oeste,mag_este,resid_oeste,resid_este,vec_oeste,vec_este,herm_oeste,herm_este,tcu_s_oeste,tcu_az_oeste,tcu_mag_oeste,tcu_s_este,tcu_az_este,tcu_mag_este,tcu_vec_oeste,tcu_vec_este,tcu_herm_oeste,tcu_herm_este,pend_proy,d_pend,estado,sector,origen
PD-350-1,PD,350,1,2TTx56,4,NO,NO,658360.239,4332266.376,4332341.035,734.877,733.276,-2.144,-2.324,0.433,,10.6,,2.364,,0.057,,no,sí,,,1.111,25.6,2.576,-1.111,25.6,2.576,PD-350-0 (hermana),PD-350-1 (hermana),SI,SI,-2.625,0.481,ok,,medido
PD-351-0,PD,351,0,2TTx56,4,NO,NO,658367.309,4331622.294,4331696.93,750.416,748.579,-2.461,-2.508,1.552,-0.958,31.8,20.9,2.949,2.685,0.084,0.01,no,sí,,,2.823,48.4,3.776,-0.957,20.9,2.684,PD-340-1,PD-351-1 (hermana),NO,SI,-2.64,0.179,ok,,medido
PD-351-1,PD,351,1,2TTx56,4,NO,NO,658373.317,4331622.262,4331696.88,750.394,748.488,-2.554,-2.508,1.739,-0.853,34.7,18.8,3.052,2.649,0.033,0.021,no,sí,,,2.823,48.4,3.776,-0.957,20.9,2.684,PD-340-1,PD-351-1 (hermana),NO,SI,-2.707,0.153,ok,,medido
PD-352-0,PD,352,0,2TTx56,4,NO,NO,658383.143,4330850.521,4330925.155,773.62,771.881,-2.33,-2.341,0.639,-1.141,15.3,26.0,2.427,2.604,0.043,0.014,sí,no,,,0.909,21.2,2.511,-0.909,21.2,2.511,PD-352-0 (hermana),PD-352-1 (hermana),SI,SI,-2.459,0.129,ok,,medido
PD-352-1,PD,352,1,2TTx56,4,NO,NO,658389.137,4330850.546,4330925.172,773.573,771.818,-2.352,-2.341,0.577,-1.295,13.8,29.0,2.411,2.675,0.02,0.01,sí,no,,,0.909,21.2,2.511,-0.909,21.2,2.511,PD-352-0 (hermana),PD-352-1 (hermana),SI,SI,-2.342,-0.01,ok,,medido
PD-353-0,PD,353,0,2TTx56,4,NO,NO,658354.253,4332341.347,4332416.014,733.195,731.658,-2.058,-2.175,-1.556,-0.13,324.4,3.4,2.674,2.179,0.079,0.084,sí,no,,,-0.127,356.7,2.179,0.127,356.7,2.179,PD-353-0 (hermana),PD-353-1 (hermana),SI,SI,-1.719,-0.339,ok,,medido
PD-353-1,PD,353,1,2TTx56,4,NO,NO,658360.225,4332341.331,4332415.993,733.29,731.579,-2.292,-2.175,-1.347,0.047,328.2,358.8,2.558,2.176,0.073,0.08,sí,no,,,-0.127,356.7,2.179,0.127,356.7,2.179,PD-353-0 (hermana),PD-353-1 (hermana),SI,SI,-1.889,-0.403,ok,,medido
PD-354-0,PD,354,0,2TTx56,4,NO,NO,658367.328,4331697.225,4331771.848,748.589,746.999,-2.131,-2.172,1.014,-1.712,25.0,38.2,2.397,2.766,0.053,0.063,sí,no,,,2.106,44.1,3.025,-1.688,37.8,2.751,PD-354-0 (hermana),PD-366-0,SI,NO,-2.21,0.079,ok,,medido
PD-354-1,PD,354,1,2TTx56,4,NO,NO,658373.319,4331697.167,4331771.799,748.495,746.843,-2.214,-2.172,1.466,-1.166,34.0,28.2,2.621,2.465,0.038,0.069,sí,no,,,2.106,44.1,3.025,-1.688,37.8,2.751,PD-354-0 (hermana),PD-366-0,SI,NO,-2.233,0.019,ok,,medido
PD-355-0,PD,355,0,2TTx56,4,NO,NO,658373.279,4331454.462,4331529.104,753.348,752.965,-0.513,-0.622,1.725,-1.481,70.2,67.2,1.834,1.606,0.061,0.067,no,sí,,,2.967,78.2,3.031,-2.967,78.2,3.031,PD-355-0 (hermana),PD-355-1 (hermana),SI,SI,-0.422,-0.091,ok,,medido
PD-355-1,PD,355,1,2TTx56,4,NO,NO,658379.315,4331454.511,4331529.025,753.25,752.705,-0.731,-0.622,2.318,-1.248,75.0,63.5,2.4,1.395,0.065,0.115,no,sí,,,2.967,78.2,3.031,-2.967,78.2,3.031,PD-355-0 (hermana),PD-355-1 (hermana),SI,SI,-0.425,-0.306,ok,,medido
PD-356-0,PD,356,0,2TTx42,3,NO,NO,658351.782,4332589.969,4332646.217,735.065,736.585,2.702,2.705,0.661,-0.053,166.3,178.9,2.784,2.705,0.104,0.003,no,no,,,0.957,160.5,2.869,0.244,185.2,2.716,PD-344-1,PD-368-0,NO,NO,2.686,0.016,ok,,medido
PD-356-1,PD,356,1,2TTx42,3,NO,NO,658357.785,4332589.933,4332646.187,735.045,736.568,2.707,2.705,0.654,0.125,166.4,182.6,2.783,2.708,0.083,0.007,no,no,,,0.957,160.5,2.869,0.244,185.2,2.716,PD-344-1,PD-368-0,NO,NO,2.603,0.104,ok,,medido
PD-357-0,PD,357,0,2TTx56,4,NO,NO,658373.329,4331529.384,4331604.007,753.076,751.459,-2.167,-1.859,0.627,-1.082,18.6,30.2,1.962,2.151,0.05,0.048,sí,no,,,1.393,36.8,2.323,-1.393,36.8,2.323,PD-357-0 (hermana),PD-357-1 (hermana),SI,SI,-2.407,0.24,ok,,medido
PD-357-1,PD,357,1,2TTx56,4,NO,NO,658379.342,4331529.247,4331604.049,752.765,751.604,-1.552,-1.859,0.972,-1.594,27.6,40.6,2.098,2.449,0.025,0.128,sí,no,,,1.393,36.8,2.323,-1.393,36.8,2.323,PD-357-0 (hermana),PD-357-1 (hermana),SI,SI,-2.275,0.723,atencion,,medido
PD-358-0,PD,358,0,2TTx56,4,NO,NO,658379.295,4331238.467,4331313.009,761.491,757.515,-5.334,-5.27,0.652,0.143,7.1,358.4,5.31,5.271,0.057,0.073,no,sí,,,1.555,16.4,5.494,0.967,349.6,5.358,PD-346-1,PD-369-0,NO,NO,-5.283,-0.051,ok,,medido
PD-358-1,PD,358,1,2TTx56,4,NO,NO,658385.304,4331238.462,4331313.004,761.377,757.497,-5.205,-5.27,0.876,0.539,9.4,354.2,5.342,5.297,0.039,0.04,no,sí,,,1.555,16.4,5.494,0.967,349.6,5.358,PD-346-1,PD-369-0,NO,NO,-5.184,-0.021,ok,,medido
PD-359-0,PD,359,0,2TTx56,4,NO,NO,658379.306,4331313.384,4331387.96,757.556,754.314,-4.347,-4.317,0.79,-0.658,10.4,8.7,4.388,4.366,0.109,0.093,sí,sí,,,1.604,20.4,4.605,0.835,349.0,4.397,PD-347-1,PD-370-0,NO,NO,-4.142,-0.205,ok,,medido
PD-359-1,PD,359,1,2TTx56,4,NO,NO,658385.324,4331313.335,4331387.927,757.499,754.302,-4.286,-4.317,0.786,-0.775,10.3,10.2,4.388,4.386,0.081,0.097,sí,sí,,,1.604,20.4,4.605,0.835,349.0,4.397,PD-347-1,PD-370-0,NO,NO,-4.336,0.05,ok,,medido
PD-36-0,PD,36,0,2TTx56,4,NO,NO,658035.08,4330226.136,4330300.597,793.351,788.387,-6.667,-6.831,-1.638,1.089,346.5,350.9,7.025,6.917,0.172,0.065,sí,no,,,-1.063,351.2,6.913,1.063,351.2,6.913,PD-36-0 (hermana),PD-36-1 (hermana),SI,SI,-6.577,-0.09,ok,,medido
PD-36-1,PD,36,1,2TTx56,4,NO,NO,658041.075,4330226.081,4330300.527,793.541,788.333,-6.996,-6.831,-1.446,1.119,348.0,350.7,6.982,6.922,0.073,0.038,sí,no,,,-1.063,351.2,6.913,1.063,351.2,6.913,PD-36-0 (hermana),PD-36-1 (hermana),SI,SI,-6.759,-0.237,ok,,medido
