id,X,Y,Z,rc,assigned,tracker_idx,row_side,Tracker_ID,NCU,GW,TCU,PS,NCU_ACCIONA,GRUPO,Tracker_Xref,Tracker_Yref,dx_ref,dy_ref,mesa,m_side,corner
64,200924.93,8162403.626,1567.638,1039.0,True,519.0,W,TR-04_1-038,5.0,1.0,38.0,04_1,MU-04_1-17,5.0,200931.0915,8162403.138,-6.162,0.488,1,S,SW
65,200924.94,8162402.756,1567.684,1039.0,True,519.0,W,TR-04_1-038,5.0,1.0,38.0,04_1,MU-04_1-17,5.0,200931.0915,8162403.138,-6.152,-0.382,2,N,NW
66,200918.732,8162402.696,1567.475,1036.0,True,518.0,E,TR-04_1-037,5.0,1.0,37.0,04_1,MU-04_1-17,4.0,200918.6955,8162403.138,0.036,-0.442,2,N,NE
67,200918.752,8162403.332,1567.497,1036.0,True,518.0,E,TR-04_1-037,5.0,1.0,37.0,04_1,MU-04_1-17,4.0,200918.6955,8162403.138,0.057,0.194,1,S,SE
68,200912.617,8162403.671,1567.547,1037.0,True,518.0,W,TR-04_1-037,5.0,1.0,37.0,04_1,MU-04_1-17,4.0,200918.6955,8162403.138,-6.079,0.533,1,S,SW
69,200912.582,8162402.821,1567.592,1037.0,True,518.0,W,TR-04_1-037,5.0,1.0,37.0,04_1,MU-04_1-17,4.0,200918.6955,8162403.138,-6.114,-0.317,2,N,NW
70,200931.128,8162440.276,1568.107,1038.0,True,519.0,E,TR-04_1-038,5.0,1.0,38.0,04_1,MU-04_1-17,5.0,200931.0915,8162403.138,0.036,37.138,1,N,NE
71,200931.141,8162440.948,1567.917,1008.0,True,504.0,E,TR-04_1-023,5.0,1.0,23.0,04_1,MU-04_1-17,5.0,200931.0915,8162478.244,0.049,-37.296,2,S,SE
72,200924.98,8162441.076,1567.783,1009.0,True,504.0,W,TR-04_1-023,5.0,1.0,23.0,04_1,MU-04_1-17,5.0,200931.0915,8162478.244,-6.111,-37.168,2,S,SW
73,200924.968,8162440.395,1567.453,1039.0,True,519.0,W,TR-04_1-038,5.0,1.0,38.0,04_1,MU-04_1-17,5.0,200931.0915,8162403.138,-6.124,37.257,1,N,NW
74,200924.918,8162477.78,1567.33,1009.0,True,504.0,W,TR-04_1-023,5.0,1.0,23.0,04_1,MU-04_1-17,5.0,200931.0915,8162478.244,-6.174,-0.464,2,N,NW
75,200924.919,8162478.821,1567.317,1009.0,True,504.0,W,TR-04_1-023,5.0,1.0,23.0,04_1,MU-04_1-17,5.0,200931.0915,8162478.244,-6.173,0.577,1,S,SW
76,200931.125,8162477.688,1567.601,1008.0,True,504.0,E,TR-04_1-023,5.0,1.0,23.0,04_1,MU-04_1-17,5.0,200931.0915,8162478.244,0.033,-0.556,2,N,NE
77,200931.12,8162478.477,1567.596,1008.0,True,504.0,E,TR-04_1-023,5.0,1.0,23.0,04_1,MU-04_1-17,5.0,200931.0915,8162478.244,0.028,0.233,1,S,SE
78,200931.171,8162515.387,1566.724,1008.0,True,504.0,E,TR-04_1-023,5.0,1.0,23.0,04_1,MU-04_1-17,5.0,200931.0915,8162478.244,0.079,37.143,1,N,NE
79,200924.954,8162515.517,1566.689,1009.0,True,504.0,W,TR-04_1-023,5.0,1.0,23.0,04_1,MU-04_1-17,5.0,200931.0915,8162478.244,-6.138,37.273,1,N,NW
80,200918.766,8162515.423,1566.602,1006.0,True,503.0,E,TR-04_1-022,5.0,1.0,22.0,04_1,MU-04_1-17,4.0,200918.6955,8162478.244,0.071,37.179,1,N,NE
